# layer center[mm] area[cm2] inner outer
BH10   1873 16.71  1894 1853
BH10   1915 17.45  1935 1894
BH10   1957 18.23  1978 1935
BH10   2000 19.04  2022 1978
BH10   2044 19.89  2066 2022
BH10   2089 20.78  2112 2066
BH10   2135 21.71  2159 2112
BH10   2182 22.68  2206 2159
BH10   2231 23.69  2255 2206
BH10   2280 24.74  2305 2255
BH10   2330 25.85  2355 2305
BH10   2381 27.00  2407 2355
BH10   2434 28.21  2460 2407
BH10   2488 29.46  2515 2460
BH10   2543 30.78  2570 2515
BH11    973  4.51   984  963
BH11    995  4.71  1006  984
BH11   1017  4.92  1028 1006
BH11   1039  5.14  1051 1028
BH11   1062  5.37  1074 1051
BH11   1086  5.61  1098 1074
BH11   1110  5.86  1122 1098
BH11   1134  6.12  1147 1122
BH11   1159  6.40  1172 1147
BH11   1185  6.68  1198 1172
BH11   1211  6.98  1224 1198
BH11   1238  7.29  1251 1224
BH11   1265  7.62  1279 1251
BH11   1293  7.96  1307 1279
BH11   1321  8.31  1336 1307
BH11   1350  8.68  1365 1336
BH11   1380  9.07  1395 1365
BH11   1411  9.47  1426 1395
BH11   1442  9.90  1457 1426
BH11   1474 10.34  1490 1457
BH11   1506 10.80  1523 1490
BH11   1539 11.28  1556 1523
BH11   1573 11.78  1590 1556
BH11   1608 12.31  1625 1590
BH11   1643 12.86  1661 1625
BH11   1680 13.43  1698 1661
BH11   1717 14.03  1735 1698
BH11   1755 14.66  1774 1735
BH11   1793 15.31  1813 1774
BH11   1833 15.99  1853 1813
BH11   1873 16.71  1894 1853
BH11   1915 17.45  1935 1894
BH11   1957 18.23  1978 1935
BH11   2000 19.04  2022 1978
BH11   2044 19.89  2066 2022
BH11   2089 20.78  2112 2066
BH11   2135 21.71  2159 2112
BH11   2182 22.68  2206 2159
BH11   2231 23.69  2255 2206
BH11   2280 24.74  2305 2255
BH11   2330 25.85  2355 2305
BH11   2381 27.00  2407 2355
BH11   2434 28.21  2460 2407
BH11   2488 29.46  2515 2460
BH11   2543 30.78  2570 2515
BH12    973  4.51   984  963
BH12    995  4.71  1006  984
BH12   1017  4.92  1028 1006
BH12   1039  5.14  1051 1028
BH12   1062  5.37  1074 1051
BH12   1086  5.61  1098 1074
BH12   1110  5.86  1122 1098
BH12   1134  6.12  1147 1122
BH12   1159  6.40  1172 1147
BH12   1185  6.68  1198 1172
BH12   1211  6.98  1224 1198
BH12   1238  7.29  1251 1224
BH12   1265  7.62  1279 1251
BH12   1293  7.96  1307 1279
BH12   1321  8.31  1336 1307
BH12   1350  8.68  1365 1336
BH12   1380  9.07  1395 1365
BH12   1411  9.47  1426 1395
BH12   1442  9.90  1457 1426
BH12   1474 10.34  1490 1457
BH12   1506 10.80  1523 1490
BH12   1539 11.28  1556 1523
BH12   1573 11.78  1590 1556
BH12   1608 12.31  1625 1590
BH12   1643 12.86  1661 1625
BH12   1680 13.43  1698 1661
BH12   1717 14.03  1735 1698
BH12   1755 14.66  1774 1735
BH12   1793 15.31  1813 1774
BH12   1833 15.99  1853 1813
BH12   1873 16.71  1894 1853
BH12   1915 17.45  1935 1894
BH12   1957 18.23  1978 1935
BH12   2000 19.04  2022 1978
BH12   2044 19.89  2066 2022
BH12   2089 20.78  2112 2066
BH12   2135 21.71  2159 2112
BH12   2182 22.68  2206 2159
BH12   2231 23.69  2255 2206
BH12   2280 24.74  2305 2255
BH12   2330 25.85  2355 2305
BH12   2381 27.00  2407 2355
