evt        et        eta        eta(p)     eta(f)    tanphi(p)     tanphi(f)
600   30.000000   2.100000   2.100000   2.102256   0.079127   0.079127
700   30.000000   2.100000   2.100000   2.079352   1.470235   1.470235
800   30.000000   2.100000   2.100000   2.112658   4.153784   4.153784
900   30.000000   2.100000   2.100000   2.083085   10.637245   10.637245
0   50.000000   2.100000   2.100000   2.105583   -1.965995   -1.965995
100   50.000000   2.100000   2.100000   2.126872   1.470976   1.470976
200   50.000000   2.100000   2.100000   2.124688   -0.460868   -0.460868
300   50.000000   2.100000   2.100000   2.117936   -0.992935   -0.992935
400   50.000000   2.100000   2.100000   2.099146   -0.030025   -0.030025
500   50.000000   2.100000   2.100000   2.072890   -0.595529   -0.595529
600   50.000000   2.100000   2.100000   2.096970   -2.128191   -2.128191
700   50.000000   2.100000   2.100000   2.100791   1.289788   1.289788
800   50.000000   2.100000   2.100000   2.120887   9.437478   9.437478
900   50.000000   2.100000   2.100000   2.116846   -2.315675   -2.315675
0   70.000000   2.100000   2.100000   2.069024   -0.237381   -0.237381
100   70.000000   2.100000   2.100000   2.083643   4.919562   4.919562
200   70.000000   2.100000   2.100000   2.090341   -0.900547   -0.900547
300   70.000000   2.100000   2.100000   2.110428   0.100545   0.100545
400   70.000000   2.100000   2.100000   2.094567   -0.506322   -0.506322
500   70.000000   2.100000   2.100000   2.071282   0.409647   0.409647
600   70.000000   2.100000   2.100000   2.107803   0.101415   0.101415
700   70.000000   2.100000   2.100000   2.084152   16.893127   16.893127
800   70.000000   2.100000   2.100000   2.084081   -0.135763   -0.135763
900   70.000000   2.100000   2.100000   2.126047   -1.624224   -1.624224
0   100.000000   2.100000   2.100000   2.089553   -0.130885   -0.130885
100   100.000000   2.100000   2.100000   2.088935   -1.410959   -1.410959
200   100.000000   2.100000   2.100000   2.092118   -2.795745   -2.795745
300   100.000000   2.100000   2.100000   2.113077   -0.477337   -0.477337
400   100.000000   2.100000   2.100000   2.094631   0.654566   0.654566
500   100.000000   2.100000   2.100000   2.091494   -1.700906   -1.700906
